idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0557,"(95, 103)","(91, 99)","(91, 99)",True
0558,"(67, 76)","(64, 73)","(64, 73)",True
0559,"(72, 94)","(69, 92)","(69, 92)",True
0560,"(67, 69)","(65, 67)","(65, 67)",True
0561,"(94, 109)","(91, 106)","(91, 106)",True
0562,"(94, 66)","(91, 63)","(91, 63)",True
0563,"(66, 54)","(63, 51)","(63, 51)",True
0564,"(70, 71)","(67, 68)","(67, 68)",True
0565,"(64, 61)","(61, 58)","(61, 58)",True
0566,"(71, 62)","(68, 59)","(68, 59)",True
0567,"(58, 69)","(55, 66)","(55, 66)",True
0568,"(94, 84)","(90, 81)","(90, 81)",True
0569,"(68, 55)","(65, 52)","(65, 52)",True
0570,"(58, 71)","(55, 68)","(55, 68)",True
0571,"(91, 115)","(87, 112)","(87, 112)",True
0572,"(59, 69)","(55, 66)","(55, 66)",True
0573,"(57, 60)","(54, 57)","(54, 57)",True
0574,"(54, 57)","(51, 54)","(51, 54)",True
0575,"(64, 72)","(60, 69)","(60, 69)",True
0576,"(55, 63)","(51, 61)","(51, 61)",True
0577,"(66, 71)","(63, 68)","(63, 68)",True
0578,"(61, 61)","(58, 58)","(58, 58)",True
0579,"(77, 78)","(73, 74)","(73, 74)",True
0580,"(82, 71)","(79, 67)","(79, 67)",True
0581,"(96, 118)","(91, 113)","(91, 113)",True
0582,"(72, 59)","(69, 55)","(69, 55)",True
0583,"(106, 94)","(102, 90)","(102, 90)",True
0584,"(84, 81)","(81, 77)","(81, 77)",True
0585,"(57, 69)","(54, 67)","(54, 67)",True
0586,"(75, 70)","(72, 67)","(72, 67)",True
0587,"(77, 97)","(73, 94)","(73, 94)",True
0588,"(59, 61)","(56, 58)","(56, 58)",True
0589,"(60, 67)","(58, 64)","(58, 64)",True
0590,"(80, 75)","(77, 72)","(77, 72)",True
0591,"(65, 67)","(62, 64)","(62, 64)",True
0592,"(58, 75)","(55, 72)","(55, 72)",True
0593,"(96, 169)","(89, 165)","(89, 165)",True
0594,"(64, 70)","(61, 67)","(61, 67)",True
0595,"(85, 63)","(83, 59)","(83, 59)",True
0596,"(65, 83)","(62, 80)","(62, 80)",True
0597,"(56, 53)","(53, 51)","(53, 51)",True
0598,"(97, 81)","(93, 76)","(93, 76)",True
