Polygon_ID,Width,Height,Foreground_Pixels,Background_Pixels,Polygon_Area_m2,Rasterized_Area_m2
522,81,77,1004,5233,100119.57,100400.0
523,98,95,1209,8101,120785.52,120900.0
524,111,117,1914,11073,191293.91,191400.0
525,113,95,1980,8755,197695.96,198000.0
526,72,114,1230,6978,122110.15,123000.0
527,92,75,956,5944,95887.85,95600.0
528,105,137,2177,12208,217272.56,217700.0
529,103,87,1538,7423,154098.68,153800.0
53,64,68,469,3883,46891.86,46900.0
530,64,58,271,3441,27010.77,27100.0
531,69,58,364,3638,36084.27,36400.0
532,178,242,5694,37382,568300.56,569400.0
533,101,85,968,7617,96587.93,96800.0
534,66,77,646,4436,64209.62,64600.0
535,89,62,857,4661,85423.6,85700.0
536,72,75,685,4715,68259.39,68500.0
537,79,123,2424,7293,242531.87,242400.0
538,62,68,411,3805,40584.28,41100.0
539,103,87,1960,7001,195627.16,196000.0
54,59,63,323,3394,32024.26,32300.0
540,95,114,1441,9389,143293.84,144100.0
541,81,110,2094,6816,208782.62,209400.0
542,68,88,859,5125,85527.1,85900.0
543,101,93,2049,7344,204814.39,204900.0
544,91,85,1524,6211,152505.81,152400.0
545,66,70,540,4080,54151.16,54000.0
546,73,70,698,4412,70036.23,69800.0
547,66,82,637,4775,63667.16,63700.0
548,53,49,83,2514,8293.49,8300.0
549,62,80,640,4320,63591.29,64000.0
55,67,76,686,4406,68718.31,68600.0
550,80,69,586,4934,58169.56,58600.0
551,65,65,405,3820,40290.65,40500.0
552,106,111,2667,9099,266752.19,266700.0
553,80,57,390,4170,39161.4,39000.0
554,61,54,179,3115,17904.33,17900.0
555,73,83,731,5328,72902.97,73100.0
556,117,104,2542,9626,253871.78,254200.0
557,99,91,1351,7658,135014.71,135100.0
558,73,64,495,4177,49343.02,49500.0
559,92,69,950,5398,95383.75,95000.0
56,67,70,534,4156,53204.7,53400.0
560,67,65,450,3905,44603.53,45000.0
561,106,91,1499,8147,149813.67,149900.0
562,63,91,706,5027,70729.25,70600.0
563,51,63,174,3039,17722.21,17400.0
564,68,67,371,4185,37027.81,37100.0
565,58,61,211,3327,21071.76,21100.0
566,59,68,348,3664,35159.55,34800.0
567,66,55,196,3434,19881.93,19600.0
568,81,90,1209,6081,120560.4,120900.0
569,52,65,201,3179,20122.72,20100.0
57,57,55,178,2957,17500.29,17800.0
570,68,55,272,3468,27235.89,27200.0
571,112,87,1883,7861,188374.52,188300.0
572,66,55,342,3288,33914.13,34200.0
573,57,54,143,2935,14072.28,14300.0
574,54,51,107,2647,10501.55,10700.0
575,69,60,407,3733,40262.54,40700.0
576,61,51,188,2923,18974.61,18800.0
577,68,63,413,3871,41409.2,41300.0
578,58,58,212,3152,21093.51,21200.0
579,74,73,756,4646,75873.44,75600.0
58,106,118,1915,10593,191866.68,191500.0
580,67,79,657,4636,65115.5,65700.0
581,113,91,2374,7909,238088.08,237400.0
582,55,69,290,3505,29119.68,29000.0
583,90,102,1083,8097,108789.06,108300.0
584,77,81,680,5557,67722.37,68000.0
585,67,54,270,3348,26771.28,27000.0
586,67,72,453,4371,45478.21,45300.0
587,94,73,1127,5735,112667.47,112700.0
588,58,56,201,3047,19914.17,20100.0
589,64,58,272,3440,27160.52,27200.0
59,102,77,1485,6369,148625.21,148500.0
590,72,77,771,4773,77139.79,77100.0
591,64,62,376,3592,37538.02,37600.0
592,72,55,328,3632,32480.53,32800.0
593,165,89,2923,11762,292424.61,292300.0
594,67,61,432,3655,43172.88,43200.0
595,59,83,645,4252,64233.55,64500.0
596,80,62,507,4453,51050.83,50700.0
597,51,53,103,2600,10241.6,10300.0
598,76,93,1328,5740,132601.63,132800.0
599,69,63,482,3865,48385.5,48200.0
6,114,105,3103,8867,310470.93,310300.0
60,74,63,526,4136,52701.05,52600.0
600,69,63,411,3936,40795.79,41100.0
601,65,108,869,6151,87296.49,86900.0
602,65,60,369,3531,37055.9,36900.0
603,62,51,187,2975,19024.22,18700.0
604,54,50,115,2585,11577.73,11500.0
605,50,58,138,2762,13566.08,13800.0
606,59,53,161,2966,15955.56,16100.0
607,51,53,86,2617,8480.77,8600.0
608,116,105,2071,10109,207332.51,207100.0
609,64,60,311,3529,31006.24,31100.0
61,139,76,2605,7959,260248.51,260500.0
610,74,83,976,5166,97388.47,97600.0
611,70,71,710,4260,70586.52,71000.0
612,77,81,687,5550,69157.11,68700.0
613,62,61,256,3526,25824.49,25600.0
614,55,80,344,4056,34152.28,34400.0
615,60,91,532,4928,52907.55,53200.0
616,77,74,812,4886,81272.35,81200.0
617,59,55,140,3105,13851.98,14000.0
618,59,67,341,3612,34222.43,34100.0
619,77,65,424,4581,42298.35,42400.0
62,122,79,2070,7568,206534.85,207000.0
620,58,59,255,3167,25453.0,25500.0
621,64,59,221,3555,21706.44,22100.0
622,62,50,157,2943,15701.69,15700.0
623,61,68,316,3832,31539.05,31600.0
624,55,56,164,2916,16200.95,16400.0
625,64,80,768,4352,77172.29,76800.0
63,78,63,657,4257,65632.15,65700.0
64,69,69,638,4123,63737.31,63800.0
65,66,56,266,3430,26832.1,26600.0
66,58,56,226,3022,22550.58,22600.0
67,60,55,177,3123,17509.04,17700.0
68,72,68,492,4404,48884.7,49200.0
69,59,58,217,3205,21886.29,21700.0
7,104,81,1738,6686,174052.73,173800.0
70,68,55,317,3423,31592.75,31700.0
71,70,53,258,3452,25938.65,25800.0
72,60,58,223,3257,21798.6,22300.0
73,75,61,439,4136,44022.32,43900.0
74,70,63,460,3950,45945.37,46000.0
75,91,74,851,5883,84698.28,85100.0
76,70,69,534,4296,53701.53,53400.0
77,65,66,396,3894,39340.36,39600.0
78,72,65,478,4202,47595.01,47800.0
79,58,75,261,4089,26356.62,26100.0
8,56,67,230,3522,22793.07,23000.0
80,130,107,2432,11478,242562.31,243200.0
81,92,69,1039,5309,103845.56,103900.0
82,71,82,973,4849,97575.74,97300.0
83,79,74,1054,4792,105365.01,105400.0
84,57,50,118,2732,11863.8,11800.0
85,73,55,321,3694,31717.57,32100.0
86,73,78,913,4781,90912.05,91300.0
87,62,58,248,3348,24825.57,24800.0
88,71,72,682,4430,68358.23,68200.0
89,64,57,243,3405,24550.4,24300.0
9,64,68,525,3827,52425.41,52500.0
90,70,74,557,4623,55675.93,55700.0
91,62,51,186,2976,18271.69,18600.0
93,62,61,350,3432,35090.35,35000.0
94,94,79,1167,6259,117218.53,116700.0
96,72,89,1041,5367,103831.95,104100.0
97,69,73,581,4456,58682.37,58100.0
98,87,91,1615,6302,161161.1,161500.0
99,145,128,6822,11738,682625.28,682200.0
